date,close
2025-10-16,120.29
2025-10-17,119.84
2025-10-20,120.21
2025-10-21,120.79
2025-10-22,120.66
2025-10-23,123.45
2025-10-24,124.4
2025-10-27,124.29
2025-10-28,123.15
2025-10-29,122.5
2025-10-30,121.56
2025-10-31,122.59
2025-11-03,121.88
2025-11-04,120.03
2025-11-05,122.0
2025-11-06,122.09
2025-11-07,121.2
2025-11-10,120.96
2025-11-11,121.14
2025-11-12,121.21
2025-11-13,121.36
2025-11-14,121.88
2025-11-17,120.71
2025-11-18,120.67
2025-11-19,120.9
2025-11-20,120.08
2025-11-21,118.5
2025-11-24,121.53
2025-11-25,121.15
2025-11-26,122.2
2025-11-27,122.39
2025-11-28,124.22
2025-12-01,125.55
2025-12-02,127.32
2025-12-03,127.22
2025-12-04,126.2
2025-12-05,126.89
2025-12-08,128.39
2025-12-09,127.74
2025-12-10,127.7
2025-12-11,128.27
2025-12-12,128.26
2025-12-15,126.03
2025-12-16,125.29
2025-12-17,124.77
2025-12-18,123.33
2025-12-19,124.06
2025-12-22,122.47
2025-12-23,123.92
2025-12-24,124.06
2025-12-25,123.79
2025-12-26,121.49
2025-12-29,121.95
2025-12-30,120.61
2025-12-31,121.16
2026-01-01,121.9
2026-01-02,122.17
2026-01-05,122.59
2026-01-06,121.8
2026-01-07,122.01
2026-01-08,121.52
2026-01-09,122.58
2026-01-12,123.71
2026-01-13,123.74
2026-01-14,124.87
2026-01-15,124.08
2026-01-16,122.07
2026-01-19,122.18
2026-01-20,121.68
2026-01-21,119.64
2026-01-22,120.91
2026-01-23,123.07
2026-01-26,124.43
2026-01-27,124.57
2026-01-28,125.09
2026-01-29,123.62
2026-01-30,124.22
2026-02-02,126.07
2026-02-03,126.48
2026-02-04,125.2
2026-02-05,125.99
2026-02-06,126.38
2026-02-09,124.89
2026-02-10,124.29
2026-02-11,123.11
2026-02-12,123.5
2026-02-13,124.41
2026-02-16,124.59
2026-02-17,124.21
2026-02-18,124.33
2026-02-19,125.29
2026-02-20,124.92
2026-02-23,125.38
2026-02-24,126.39
2026-02-25,126.48
